,osm_id,type,oneway,bridge,geometry
106,21654620,secondary,1,0,"LINESTRING (116.3115702 39.9746749, 116.3117415 39.9746731)"
467,25446414,secondary,1,0,"LINESTRING (116.3113773 39.9746788, 116.3115702 39.9746749)"
3392,42367940,footway,0,1,"LINESTRING (116.3112189 39.9769318, 116.3105521 39.9768142)"
3395,42367963,footway,0,1,"LINESTRING (116.3128514 39.9720423, 116.3123466 39.9719063)"
3492,42411339,tertiary_link,0,0,"LINESTRING (116.3127279 39.9711804, 116.3128491 39.9712105, 116.3130008 39.971244)"
11590,120413630,footway,0,1,"LINESTRING (116.3137681 39.9749504, 116.3137856 39.9745721)"
11591,120413631,footway,0,1,"LINESTRING (116.3136456 39.9745683, 116.3137856 39.9745721, 116.3141572 39.9745822)"
11592,120413632,footway,0,1,"LINESTRING (116.3136393 39.9749469, 116.3137681 39.9749504, 116.3139346 39.974955)"
12427,121778742,primary,1,0,"LINESTRING (116.3101934 39.9839321, 116.3103266 39.9829572, 116.3103938 39.9821355, 116.3104511 39.9814804, 116.310461 39.9813078, 116.3104671 39.9812305, 116.3105208 39.9804728, 116.3105965 39.9795423, 116.3106014 39.9794722, 116.310677 39.9786721, 116.3106662 39.9784719, 116.3106226 39.9777533, 116.3105853 39.9775324)"
12439,121778770,footway,0,1,"LINESTRING (116.3112152 39.9770554, 116.3112189 39.9769318, 116.3113242 39.976663)"
12441,121778772,footway,0,1,"LINESTRING (116.3105133 39.9769555, 116.3105521 39.9768142, 116.3106208 39.9765652)"
12443,121778774,primary_link,1,0,"LINESTRING (116.3106226 39.9777533, 116.3106937 39.9776938, 116.3107791 39.9776821, 116.3108936 39.9777013, 116.31095 39.977771)"
12444,121778775,primary_link,1,0,"LINESTRING (116.3110251 39.9771672, 116.3109388 39.977204, 116.3108344 39.9772106, 116.3107213 39.9771811, 116.3106554 39.9771357)"
12631,121991961,tertiary,1,0,"LINESTRING (116.3113997 39.9746083, 116.3116 39.9745967)"
13864,128624213,platform,0,0,"LINESTRING (116.3123925 39.9720735, 116.3123067 39.9722712)"
13873,128624224,footway,0,0,"LINESTRING (116.3123925 39.9720735, 116.3123373 39.9720586, 116.3122857 39.9720446)"
13874,128624225,steps,0,1,"LINESTRING (116.3127769 39.9721965, 116.3128514 39.9720423, 116.3129629 39.9718116)"
13876,128624227,platform,0,0,"LINESTRING (116.3125659 39.9724118, 116.3126161 39.9722892)"
13877,128624228,steps,0,1,"LINESTRING (116.3122857 39.9720446, 116.3123466 39.9719063, 116.3124427 39.9716883)"
13878,128624229,footway,0,0,"LINESTRING (116.3126161 39.9722892, 116.3126617 39.9723011, 116.3127207 39.9723165, 116.3127769 39.9721965)"
14232,136511986,tertiary,1,0,"LINESTRING (116.2999372 39.9777081, 116.3000288 39.9777108, 116.3022519 39.9777743, 116.3023572 39.9777391, 116.3035674 39.9776364, 116.3049622 39.9775145, 116.3050432 39.9775069, 116.3056442 39.9774564, 116.3067659 39.977359, 116.310465 39.9774036, 116.3105058 39.9774041, 116.3105926 39.9774053)"
14233,136511990,tertiary,1,0,"LINESTRING (116.3105853 39.9775324, 116.3105011 39.9775309, 116.3104616 39.9775303, 116.3095624 39.9775148, 116.3076468 39.9774775, 116.3067288 39.9774596, 116.3056415 39.977538, 116.3050413 39.9775969, 116.304954 39.9775956)"
14239,136512002,secondary,1,0,"LINESTRING (116.3113571 39.9747423, 116.3112004 39.9747368, 116.3084842 39.974639, 116.3082867 39.9746319, 116.3052775 39.9745235, 116.3051806 39.9745225, 116.3034104 39.9744664, 116.3030095 39.9744501, 116.3028991 39.9744465, 116.300272 39.9743777, 116.3001385 39.9743748)"
14241,136512006,tertiary,1,0,"LINESTRING (116.300147 39.9742224, 116.3002845 39.9742273, 116.3021232 39.9742895, 116.3051893 39.9743931, 116.3052863 39.9743962, 116.3063427 39.9744352, 116.3082942 39.9745072, 116.3088144 39.9745264, 116.3090517 39.9745352, 116.3112324 39.9746157, 116.3113997 39.9746083)"
14242,136512007,tertiary,1,0,"LINESTRING (116.3113352 39.9748113, 116.3111836 39.9748064, 116.308638 39.9747036, 116.3082832 39.9746893, 116.3068167 39.9746301, 116.3052722 39.9745808, 116.3051768 39.9745813, 116.3030072 39.9745141, 116.3028955 39.9745106, 116.3012528 39.9744653, 116.3002655 39.9744381, 116.3001343 39.974434)"
14257,136512026,secondary,1,0,"LINESTRING (116.3115429 39.9747452, 116.3113571 39.9747423)"
14292,136597113,residential,0,0,"LINESTRING (116.3138576 39.9796426, 116.3138771 39.9779184)"
14912,143599465,cycleway,1,0,"LINESTRING (116.3153472 39.9658878, 116.3153284 39.9659445, 116.3148083 39.9671637, 116.3145625 39.9677327, 116.3144239 39.9680534, 116.3143809 39.9681529, 116.314217 39.9685323, 116.314031 39.9689701, 116.3136756 39.9698065, 116.3134515 39.970403, 116.3131312 39.9712631, 116.3128914 39.9717933, 116.3126617 39.9723011, 116.3122131 39.9733452)"
17191,156469315,secondary,1,0,"LINESTRING (116.323884 39.9750825, 116.3190684 39.9749319, 116.3141134 39.9748083, 116.3117106 39.9747484, 116.3115429 39.9747452)"
17203,156469328,tertiary,1,0,"LINESTRING (116.3115158 39.9748152, 116.3113352 39.9748113)"
17224,156469354,tertiary,1,0,"LINESTRING (116.3190638 39.9750069, 116.3141071 39.974879, 116.3116816 39.9748189, 116.3115158 39.9748152)"
17225,156469355,tertiary,1,0,"LINESTRING (116.3116 39.9745967, 116.3117259 39.9745902)"
18900,162546311,secondary,1,0,"LINESTRING (116.3117415 39.9746731, 116.3133375 39.9747123, 116.319073 39.9748565)"
18901,162546312,primary,1,0,"LINESTRING (116.3115702 39.9746749, 116.3115429 39.9747452, 116.3115158 39.9748152, 116.3115078 39.9748442, 116.3113874 39.9752815, 116.3112642 39.9755784, 116.3112088 39.9757628, 116.3111085 39.9761711, 116.3110649 39.9764057, 116.3110407 39.9766495, 116.3110251 39.9771672, 116.3110031 39.9774014, 116.31095 39.977771, 116.310847 39.9786841, 116.3107687 39.9795163)"
18902,162546313,primary,1,0,"LINESTRING (116.3116 39.9745967, 116.3115702 39.9746749)"
18903,162546314,tertiary_link,1,0,"LINESTRING (116.3117259 39.9745902, 116.3117415 39.9746731)"
18904,162546316,tertiary,1,0,"LINESTRING (116.3117259 39.9745902, 116.3130614 39.9746204, 116.3137211 39.9746386, 116.3151845 39.974679, 116.3164838 39.9747148, 116.3182378 39.9747632, 116.3190773 39.9747864, 116.3209699 39.9748434, 116.322496 39.9748894, 116.3240708 39.9749325, 116.3250268 39.9749587)"
19160,163822322,platform,0,0,"LINESTRING (116.3106387 39.9769545, 116.3106866 39.9767627)"
19161,163822323,platform,0,0,"LINESTRING (116.3107635 39.9764622, 116.3107394 39.9765572)"
19162,163822324,platform,0,0,"LINESTRING (116.3106866 39.9767627, 116.3107394 39.9765572)"
19163,163822326,cycleway,1,0,"LINESTRING (116.3105965 39.9795423, 116.3104942 39.9794685, 116.310539 39.9788292, 116.3105375 39.9786572, 116.3105319 39.9784732, 116.3105263 39.9782584, 116.3104639 39.9777441, 116.3104616 39.9775303, 116.310465 39.9774036, 116.3104919 39.9771878, 116.3107878 39.9761694, 116.3108508 39.9760565, 116.3111721 39.9748508, 116.3111836 39.9748064, 116.3112004 39.9747368, 116.3112151 39.9746726, 116.3112324 39.9746157, 116.3112501 39.9745781, 116.312102 39.972612, 116.3123373 39.9720586, 116.3124945 39.9717052, 116.3127279 39.9711804, 116.3132065 39.970022, 116.3133987 39.969557, 116.3134178 39.9694496, 116.3134324 39.9693672, 116.3136356 39.9688454, 116.3137517 39.9686716, 116.3138469 39.9684172, 116.3142522 39.9673343)"
19164,163822328,tertiary,1,0,"LINESTRING (116.3105965 39.9795423, 116.310528 39.9794696, 116.3105846 39.978828, 116.3105846 39.9786561, 116.3105719 39.9784746, 116.3105656 39.9782579, 116.3105074 39.9777435, 116.3105011 39.9775309, 116.3105058 39.9774041, 116.3105357 39.9771901, 116.3108508 39.9760565, 116.3109931 39.9759785)"
19165,163822332,residential,0,0,"LINESTRING (116.3190119 39.976025, 116.3162182 39.9759105, 116.3159758 39.9758414, 116.315828 39.9757993, 116.3157031 39.975793, 116.3155512 39.9757854, 116.3153108 39.9758027, 116.315152 39.975841, 116.3140229 39.975859, 116.3135418 39.9758667, 116.3129387 39.9758421, 116.312419 39.9758052, 116.3113329 39.9757672, 116.3112088 39.9757628)"
19166,163823775,platform,0,0,"LINESTRING (116.3111097 39.9766728, 116.311132 39.976434)"
19167,163823776,primary_link,1,0,"LINESTRING (116.3110031 39.9774014, 116.3110837 39.9775838)"
19168,163823777,platform,0,0,"LINESTRING (116.3112176 39.9759973, 116.3111767 39.9762089)"
19169,163823778,platform,0,0,"LINESTRING (116.3134143 39.9746788, 116.3130591 39.9746691)"
19170,163823779,platform,0,0,"LINESTRING (116.3111767 39.9762089, 116.311132 39.976434)"
19171,163823780,footway,0,0,"LINESTRING (116.3136456 39.9745683, 116.3130645 39.9745525, 116.3130614 39.9746204, 116.3130591 39.9746691)"
19172,163823781,cycleway,1,0,"LINESTRING (116.3117415 39.9746731, 116.3117106 39.9747484, 116.3116816 39.9748189, 116.3116747 39.9748409, 116.3115036 39.9753838, 116.3113898 39.9755956, 116.3113329 39.9757672, 116.3112698 39.9760048, 116.3112232 39.9762371, 116.3111806 39.9764877, 116.3111458 39.9768133, 116.3111221 39.9771789, 116.3110837 39.9775838, 116.3111179 39.9776412, 116.310966 39.9788772, 116.3109107 39.979523, 116.3108349 39.9806468, 116.3108006 39.9812842, 116.3107751 39.981758, 116.3107511 39.9820329, 116.3105986 39.9837775, 116.3104098 39.9839359)"
19876,165174630,primary_link,1,0,"LINESTRING (116.3121682 39.9731655, 116.3122131 39.9733452)"
19880,165174635,tertiary,1,0,"LINESTRING (116.3122131 39.9733452, 116.3119966 39.9738962, 116.3117856 39.9744332, 116.3117259 39.9745902)"
19881,165174636,tertiary,1,0,"LINESTRING (116.3110837 39.9775838, 116.3109165 39.9789871, 116.3108756 39.979521, 116.310791 39.9805781, 116.3107234 39.9813761, 116.3107275 39.9817594, 116.3106359 39.9829152, 116.3104566 39.9833746)"
20198,165743440,platform,0,0,"LINESTRING (116.3123067 39.9722712, 116.3122144 39.9724838)"
20203,165743447,platform,0,0,"LINESTRING (116.3126161 39.9722892, 116.3126783 39.9721371)"
20217,165743483,unclassified,0,0,"LINESTRING (116.31223 39.9726454, 116.312102 39.972612, 116.3106273 39.9724604, 116.3093314 39.9723753, 116.3062765 39.9721173, 116.3058626 39.9720824, 116.3051779 39.9719902, 116.3049802 39.9719603, 116.304292 39.9718639, 116.3029051 39.9716709, 116.3024415 39.9716064, 116.300644 39.9713185)"
20330,166497643,cycleway,1,0,"LINESTRING (116.3190638 39.9750069, 116.3188924 39.9750337, 116.3141044 39.9749058, 116.3116747 39.9748409, 116.3115078 39.9748442, 116.3113236 39.9748478, 116.3111721 39.9748508, 116.308635 39.9747464, 116.3082806 39.9747318, 116.3068139 39.9746714, 116.3052683 39.9746235, 116.3051742 39.9746205, 116.3038653 39.9745786, 116.3034065 39.9745625, 116.3030059 39.9745494, 116.3028936 39.9745463, 116.3012508 39.9744998, 116.3002633 39.9744719, 116.3001323 39.9744671)"
20331,166498180,cycleway,1,0,"LINESTRING (116.300147 39.9742224, 116.3002885 39.9741934, 116.3021255 39.9742538, 116.3038405 39.9743102, 116.3051923 39.9743546, 116.3052893 39.9743578, 116.3055563 39.9743677, 116.306345 39.9743968, 116.3082966 39.9744689, 116.3088164 39.9744881, 116.3090547 39.974497, 116.3107891 39.9745611, 116.3112501 39.9745781)"
20332,166498896,footway,0,0,"LINESTRING (116.3086401 39.9746733, 116.308638 39.9747036, 116.308635 39.9747464, 116.3086315 39.9747974, 116.3082774 39.9747848, 116.3082806 39.9747318, 116.3082832 39.9746893, 116.3082867 39.9746319, 116.3082906 39.974567, 116.3082942 39.9745072, 116.3082966 39.9744689, 116.3082989 39.9744312, 116.3088183 39.974451, 116.3090577 39.9744601, 116.3107915 39.9745261, 116.3109901 39.9745336)"
20333,166498897,service,0,0,"LINESTRING (116.3107891 39.9745611, 116.3107915 39.9745261, 116.3107955 39.9744706)"
20334,166498898,platform,0,0,"LINESTRING (116.3087373 39.9746768, 116.3086401 39.9746733, 116.3084555 39.9746666)"
20335,166498899,service,0,0,"LINESTRING (116.3088357 39.9741102, 116.3088183 39.974451, 116.3088164 39.9744881, 116.3088144 39.9745264)"
20336,166498900,service,0,0,"LINESTRING (116.3090517 39.9745352, 116.3090547 39.974497, 116.3090577 39.9744601, 116.3090846 39.9741199, 116.3088357 39.9741102, 116.3063673 39.9740141, 116.306345 39.9743968, 116.3063427 39.9744352)"
24061,174787782,secondary,1,0,"LINESTRING (116.3051849 39.9744559, 116.3052827 39.9744584, 116.3082906 39.974567, 116.3112151 39.9746726, 116.3113773 39.9746788)"
24062,174787784,primary,1,0,"LINESTRING (116.3105853 39.9775324, 116.3105926 39.9774053, 116.3106554 39.9771357, 116.3107574 39.9767863, 116.3108169 39.9765795, 116.310843 39.9764795, 116.3109931 39.9759785, 116.3113236 39.9748478, 116.3113352 39.9748113, 116.3113571 39.9747423)"
25538,182857675,residential,0,0,"LINESTRING (116.3106273 39.9724604, 116.3106408 39.9723729, 116.3106648 39.972106, 116.3107088 39.9717599, 116.3109038 39.9701683, 116.3109095 39.9701216, 116.3109964 39.9694109, 116.3110948 39.9685518, 116.3111355 39.9682117, 116.3111804 39.9678234)"
27240,192581741,pedestrian,0,0,"LINESTRING (116.3065754 39.9794237, 116.3070946 39.9788999, 116.3074642 39.9787495, 116.3104616 39.9775303)"
31636,233756369,primary,1,0,"LINESTRING (116.3113571 39.9747423, 116.3113773 39.9746788, 116.3113997 39.9746083, 116.31223 39.9726454, 116.3123747 39.9723032, 116.3124522 39.9721135, 116.3128491 39.9712105, 116.313433 39.9697903, 116.3136307 39.9692738, 116.313707 39.9690744, 116.3137731 39.9689018, 116.31395 39.9684396, 116.3143015 39.9675211)"
33344,240367922,primary,1,0,"LINESTRING (116.3130008 39.971244, 116.3125545 39.9722453, 116.3124928 39.9723836, 116.3121682 39.9731655, 116.3116 39.9745967)"
33354,240367933,tertiary,0,0,"LINESTRING (116.3130008 39.971244, 116.3131312 39.9712631, 116.3132119 39.9712658, 116.3138738 39.9712911, 116.3147149 39.9713234, 116.3179954 39.971449, 116.3192386 39.9714966)"
48246,462630730,primary,1,0,"LINESTRING (116.3147402 39.9669035, 116.314664 39.9670865, 116.3145172 39.9674916, 116.3143551 39.9678804, 116.3142314 39.968177, 116.3141569 39.9683556, 116.3140939 39.9685066, 116.3139119 39.9689419, 116.3135522 39.969802, 116.3130008 39.971244)"
52117,513262261,service,0,0,"LINESTRING (116.3087692 39.9719917, 116.3080374 39.9719476, 116.3077454 39.9719331, 116.3068904 39.971901, 116.3060057 39.9718298, 116.30502 39.9717362)"
52121,513265441,service,0,0,"LINESTRING (116.3080145 39.9701064, 116.3079917 39.9703291, 116.3079275 39.9709585, 116.3079154 39.9710771, 116.3078958 39.9712686, 116.3078883 39.9713421, 116.3078678 39.9714799, 116.3078459 39.9715687, 116.3077454 39.9719331)"
52230,518469004,residential,0,0,"LINESTRING (116.3094111 39.9732185, 116.3098207 39.9732535, 116.3116823 39.9734187)"
52231,518469005,residential,0,0,"LINESTRING (116.3093987 39.9731543, 116.3094111 39.9732185, 116.309394 39.9732853, 116.3093482 39.9733435, 116.3092792 39.9733864, 116.3091954 39.9734087, 116.3091066 39.9734077, 116.3090288 39.9733859, 116.3089641 39.9733462, 116.3089193 39.9732928, 116.308899 39.9732313, 116.3089054 39.973168, 116.3089366 39.973111, 116.3089894 39.9730642, 116.3090585 39.9730324, 116.3091371 39.9730185, 116.3092214 39.9730248, 116.3092984 39.9730518, 116.3093598 39.9730966, 116.3093987 39.9731543)"
52232,518469006,residential,0,0,"LINESTRING (116.3091066 39.9734077, 116.3090886 39.973574)"
52233,518469007,residential,0,0,"LINESTRING (116.3091371 39.9730185, 116.3091552 39.972874)"
52234,518469008,residential,0,0,"LINESTRING (116.3088406 39.9735508, 116.3089054 39.973168, 116.3089374 39.9728554)"
52235,518469009,residential,0,0,"LINESTRING (116.309379 39.9735971, 116.3094111 39.9732185, 116.3094697 39.9729064)"
52236,518469010,residential,0,0,"LINESTRING (116.3089054 39.973168, 116.3084292 39.9731289)"
52237,518469011,residential,0,0,"LINESTRING (116.3083506 39.9735137, 116.3084292 39.9731289, 116.3084776 39.9727998, 116.3089374 39.9728554, 116.3091552 39.972874, 116.3094697 39.9729064, 116.309869 39.9729435, 116.3098207 39.9732535, 116.3097601 39.9736481, 116.309379 39.9735971, 116.3090886 39.973574, 116.3088406 39.9735508, 116.3083506 39.9735137)"
52238,518469012,residential,0,0,"LINESTRING (116.3084776 39.9727998, 116.3084883 39.9727071, 116.3062501 39.9725124)"
52239,518469013,residential,0,0,"LINESTRING (116.3083506 39.9735137, 116.3082161 39.9734998, 116.3081677 39.9737084, 116.3060928 39.9735554, 116.3060998 39.9735092, 116.3061335 39.9732861, 116.3061844 39.9729481, 116.3062501 39.9725124, 116.306266 39.9722736, 116.3062765 39.9721173)"
52572,524117755,service,0,0,"LINESTRING (116.3078883 39.9713421, 116.3085812 39.9713648, 116.3085893 39.9712682, 116.3096568 39.9713257, 116.3096434 39.9716074, 116.3097212 39.9716855, 116.3098204 39.9717184, 116.3107088 39.9717599)"
52574,524200047,path,0,0,"LINESTRING (116.3069447 39.9715049, 116.3078459 39.9715687)"
52575,524200050,footway,0,0,"LINESTRING (116.3069732 39.9712086, 116.3078958 39.9712686)"
52576,524200051,footway,0,0,"LINESTRING (116.3069921 39.9710132, 116.3079154 39.9710771)"
52587,524200073,cycleway,0,0,"LINESTRING (116.3087692 39.9719917, 116.3106648 39.972106)"
52846,532520100,footway,0,0,"LINESTRING (116.3070937 39.9786371, 116.3076468 39.9774775)"
53381,541816108,footway,0,0,"LINESTRING (116.3129629 39.9718116, 116.3128914 39.9717933)"
53382,541816109,footway,0,0,"LINESTRING (116.3124427 39.9716883, 116.3124945 39.9717052)"
55773,582733767,residential,0,0,"LINESTRING (116.3141134 39.9748083, 116.3141071 39.974879, 116.3141044 39.9749058, 116.3140229 39.975859)"
57382,621713880,service,0,0,"LINESTRING (116.3119966 39.9738962, 116.312485 39.9739839, 116.313431 39.9739839, 116.3137463 39.9740607, 116.3137211 39.9746386)"
57383,621713881,residential,0,0,"LINESTRING (116.3151845 39.974679, 116.3153083 39.9740387, 116.3163744 39.9731064, 116.3168132 39.9732932)"
57384,621715531,residential,0,0,"LINESTRING (116.3147149 39.9713234, 116.3146439 39.9720575, 116.3139883 39.973634)"
57385,621715532,residential,0,0,"LINESTRING (116.3138738 39.9712911, 116.3138324 39.9717852, 116.3132226 39.9734271)"
57441,622494865,residential,0,0,"LINESTRING (116.3165592 39.9731852, 116.3165577 39.9732148, 116.3164838 39.9747148)"
